D,L,M,feed_temp,n_reactor,Pump Operating Cost,Preheat Operating Cost,PTSA Reactant Cost,IPA Reactant Cost,IPP Reactant Profit,Reactor Operating Cost,Reactor Wastewater Cost,Preheat Capital Cost,Reactor Body Capital Cost,Reactor Head Capital Cost,Reactor Jacket Capital Cost,conversion,CC,OC,TAC
2.6478765270398004,18.287787842611795,1.0004574992693795,349.4299087158208,2.172579567628733,8005.7168430083775,647178.9044574297,136416589.04481354,57946070.161872774,26240202236.738575,405281.9918101354,439538.2489854241,43073.423666926705,565741.8891113487,131352.87829716486,3629925.2467781096,0.5760810794683074,4370093.43785355,1060466.6131105735,2517164.4257284235
0.7809469199205874,5.470245073064102,2.382242908172191,360.76209690768036,5.305145704686822,7963.192958674495,665835.4280190957,69839998.11401238,55191395.856547445,8055975541.736777,96392.3823556784,364842.33067121834,43954.289369856095,256140.26386705483,190199.16589465126,877435.1396911695,0.44215504175462744,1367728.8588227318,770191.0033334485,1226100.6229410258
2.660368457818945,17.445268009522227,1.8178089989260697,418.5240923669134,1.21882686965143,10361.82425658441,1072030.575521041,318005553.12175834,210573438.3910928,80959502921.62556,62553.94523498305,561077.4910352562,61165.97874340568,273440.12903026503,65929.94676651,1763405.22609547,0.8886981398910229,2163941.2806356507,1144946.3450126084,1866260.105224492
4.105188183525813,11.015315256811046,3.2347593137830066,329.99643263142804,2.5828308977881815,10003.41492332385,794563.6395423919,198157908.13615543,187355874.97732544,33565300060.202026,674256.1084346934,606049.2658154656,43568.81081792318,534663.6167848548,201208.19792035088,4824025.816636979,0.7368973042550058,5603466.442160107,1478823.1629004092,3346645.3102871114
4.854281269884336,24.23827781726554,2.2536967126369714,396.2287138803177,8.002349326845346,7614.9636238397015,697817.0954470385,42761957.23876392,32633287.253435098,10102662900.716389,1191627.0928743556,172190.7676411231,47665.33059085395,4647839.625191055,980057.146102097,46462384.754504465,0.8871811119200411,52137946.85638847,1897059.1519452338,19276374.770741392
5.393988315147122,3.04106107287467,1.1562191329315294,333.52965034774826,8.016358602401011,7369.64886377403,554662.0537618634,35180202.504014984,16741929.329401325,6134280651.000754,386682.5838632163,197097.75238961098,41431.95217327577,981083.0703321404,1118752.4716413307,10959496.378064046,0.5386914303949042,13100763.872210793,948714.2864888536,5315635.577225785
0.8154942945400381,11.106583000121251,4.831558120602008,377.12983419676203,6.528098140464282,8551.175575206289,762401.9016729449,80760954.02583475,93280592.81279755,12652353312.886106,190035.60813964406,355641.6135942537,46572.9893220875,490653.126584398,230063.05934438194,1551683.3266360129,0.8333146164662841,2318972.50188688,960988.6853877952,1733979.5193500887
2.064214878284862,17.476022264358008,4.338502687589491,315.344593281303,6.993653076410291,8404.227971616361,613381.0455040154,76219357.3890091,83761406.262011,10732611607.346107,1079095.5563431901,359598.24244206364,41316.91817218405,1346075.6364412226,328692.0622199826,7223759.557650472,0.7068757806619528,8939844.174483862,1700880.829818822,4680828.887980109
5.935951261212344,18.955975705116145,2.1217759682576207,407.8635194141786,1.8247757925553598,10905.380393153308,1106488.8231645932,334804824.8448696,245784711.922734,81625339427.0679,381593.7410943173,617265.7304104592,58410.82515114794,559667.1847165496,158518.3338346596,6571581.84235851,0.8960070738951136,7348178.186060867,1498987.9446520638,3948380.6733390195
2.8253877755114547,22.806292074234292,2.174456593494718,347.6830406303618,2.0389282912250386,9055.39407174777,747522.022519612,168858156.34725595,125943595.22779204,35028457780.96793,639651.1403785564,474281.117737705,44088.547906531225,711649.148436721,138712.8708922285,4752030.841343692,0.7690196740296977,5646481.408579173,1396228.5569699162,3278389.026496307
0.3613600077542082,17.292052790557385,1.8465124640002362,345.0155991246671,4.9276695426499035,7936.690884912697,631429.9962542267,79897975.21078613,53474605.80377954,5487930364.018718,251048.17312453772,444703.46880527644,42678.914950216276,261346.95623308735,140493.62317346604,601581.8563026361,0.2409655855261998,1046101.3506594058,890414.8602636771,1239115.310483479
0.5568346344232122,14.778822531808313,1.5869142996232406,383.8666644283941,6.59106929656724,7584.1592884521915,670778.4402719091,50874124.92221918,30637799.01161929,9880312196.096418,189215.65878660142,232133.57034597182,45836.47454289339,463293.3152271226,217777.46046482038,1215171.3022448737,0.6507412782941903,1942078.5524797102,867578.2583469627,1514937.7758401996
0.8384229657599986,10.93734370766964,3.7776006309109804,362.8515123432283,1.3991281369792365,13866.33913958094,1281797.8862312248,426316900.95930374,437594023.45858794,22817341153.514675,66038.79498924142,1341510.3200119117,52405.76891342625,82427.45411951488,38550.61480012201,264373.7638652981,0.25046755363626216,437757.6016983612,1361703.0203600472,1507622.2209261677
3.3314043340141914,16.93107148527493,3.0595564482332342,426.5013707188976,5.686574773610923,8205.428443596422,828444.5377992615,77326584.0586957,70883279.99660362,17330212770.92011,86060.67332773356,267129.24626687414,57428.70492577428,1596620.9226543605,403711.3630112409,12173845.035797292,0.9511748033051726,14231606.026388668,922710.6395705915,5666579.3150334805
5.44456101290533,4.299392899509701,1.5571053890030342,410.0369546451428,4.177437927514413,7807.310880296471,746948.2316094373,75899326.85257767,45093438.84497463,19286488929.40679,91961.60762304501,224946.999250643,50847.57439739603,639638.1413671294,566134.372491712,7226427.476472024,0.8468365648531812,8483047.564728262,846717.1501127788,3674399.6716888663
1.2007866334223634,23.260205929504814,2.3910634389820262,403.24745237633863,6.800723902950107,7823.8235960447155,735475.5725878066,58281245.465449005,46163123.67022902,13858320482.431934,232309.83354815358,208260.0375055667,49396.03652688441,1108205.9796194164,253949.19771831136,4048161.243934149,0.9127425335113681,5459712.457798761,975609.2297320049,2795513.382331592
